"Rank","Name","Team","POS","SALARY","YEARS","Total_Value"
"","Patric Kjellberg","ANA","RW","$ 1,100,000","1 (2002)","$ 1,100,000"
"","Sheldon Souray","MTL","D","$ 1,100,000","1 (2002)","$ 1,100,000"
"","Turner Stevenson","NJD","RW","$ 1,100,000","1 (2002)","$ 1,100,000"
"","Alexander Frolov","LAK","LW","$ 1,075,000","1 (2002)","$ 1,075,000"
"","Alexei Smirnov","ANA","C","$ 1,075,000","1 (2002)","$ 1,075,000"
"","Dany Heatley","WPG","RW","$ 1,075,000","1 (2002)","$ 1,075,000"
"","Jochen Hecht","BUF","LW","$ 1,075,000","1 (2002)","$ 1,075,000"
"","Krystofer Kolanos","ARI","C","$ 1,075,000","1 (2002)","$ 1,075,000"
"","Marcel Hossa","MTL","LW","$ 1,075,000","1 (2002)","$ 1,075,000"
"","Marian Gaborik","MIN","RW","$ 1,075,000","1 (2002)","$ 1,075,000"
"","Mike Cammalleri","LAK","C","$ 1,075,000","1 (2002)","$ 1,075,000"
"","Nikita Alexeev","TBL","RW","$ 1,075,000","1 (2002)","$ 1,075,000"
"","Rick DiPietro","NYI","G","$ 1,075,000","1 (2002)","$ 1,075,000"
"","Scott Hartnell","NSH","LW","$ 1,075,000","1 (2002)","$ 1,075,000"
"","David Legwand","NSH","C","$ 1,072,500","1 (2002)","$ 1,072,500"
"","Jiri Fischer","DET","D","$ 1,072,500","1 (2002)","$ 1,072,500"
"","Robyn Regehr","CGY","D","$ 1,072,500","1 (2002)","$ 1,072,500"
"","Vitaly Vishnevski","ANA","D","$ 1,072,500","1 (2002)","$ 1,072,500"
"","Matt Johnson","MIN","LW","$ 1,058,750","1 (2002)","$ 1,058,750"
"","Andrei Zyuzin","MIN","D","$ 1,050,000","1 (2002)","$ 1,050,000"
"","Andrew Brunette","MIN","LW","$ 1,050,000","1 (2002)","$ 1,050,000"
"","Jeff Halpern","WSH","C","$ 1,050,000","1 (2002)","$ 1,050,000"
"","Kim Johnsson","PHI","D","$ 1,050,000","1 (2002)","$ 1,050,000"
"","Jamie Pushor","PIT","D","$ 1,045,000","1 (2002)","$ 1,045,000"
"","Branislav Mezei","FLA","D","$ 1,025,000","1 (2002)","$ 1,025,000"
"","Daniel Sedin","VAN","LW","$ 1,025,000","1 (2002)","$ 1,025,000"
"","Henrik Sedin","VAN","C","$ 1,025,000","1 (2002)","$ 1,025,000"
"","Mike Comrie","EDM","C","$ 1,025,000","1 (2002)","$ 1,025,000"
"","Mike Van Ryn","FLA","D","$ 1,025,000","1 (2002)","$ 1,025,000"
"","Oleg Saprykin","CGY","LW","$ 1,025,000","1 (2002)","$ 1,025,000"
"","Ryan Miller","BUF","G","$ 1,025,000","1 (2002)","$ 1,025,000"
"","Sergei Zholtok","MIN","C","$ 1,025,000","1 (2002)","$ 1,025,000"
"","Steve McCarthy","CHI","D","$ 1,025,000","1 (2002)","$ 1,025,000"
"","Taylor Pyatt","BUF","LW","$ 1,025,000","1 (2002)","$ 1,025,000"
"","Anton Volchenkov","OTT","D","$ 1,000,000","1 (2002)","$ 1,000,000"
"","Brenden Morrow","DAL","LW","$ 1,000,000","1 (2002)","$ 1,000,000"
"","Georges Laraque","EDM","RW","$ 1,000,000","1 (2002)","$ 1,000,000"
"","Jeff Finley","STL","D","$ 1,000,000","1 (2002)","$ 1,000,000"
"","Jordan Leopold","CGY","D","$ 1,000,000","1 (2002)","$ 1,000,000"
"","Martin St. Louis","TBL","RW","$ 1,000,000","1 (2002)","$ 1,000,000"
"","Mattias Timander","NYI","D","$ 1,000,000","1 (2002)","$ 1,000,000"
"","Patrik Stefan","WPG","C","$ 1,000,000","1 (2002)","$ 1,000,000"
"","Paul Mara","ARI","D","$ 1,000,000","1 (2002)","$ 1,000,000"
"","Scott Pellerin","ARI","LW","$ 1,000,000","1 (2002)","$ 1,000,000"
"","Steve Thomas","ANA","RW","$ 1,000,000","1 (2002)","$ 1,000,000"
"","Vitali Yachmenev","NSH","LW","$ 1,000,000","1 (2002)","$ 1,000,000"
"","Jonathan Girard","BOS","D","$ 990,000","1 (2002)","$ 990,000"
"","Brad Ference","ARI","D","$ 975,000","1 (2002)","$ 975,000"
"","Brad Richards","TBL","C","$ 975,000","1 (2002)","$ 975,000"
"","Bryan Allen","VAN","D","$ 975,000","1 (2002)","$ 975,000"
"","Jason Marshall","MIN","D","$ 975,000","1 (2002)","$ 975,000"
"","Justin Williams","PHI","RW","$ 975,000","1 (2002)","$ 975,000"
"","Mark Bell","CHI","LW","$ 975,000","1 (2002)","$ 975,000"
"","Sheldon Keefe","TBL","RW","$ 975,000","1 (2002)","$ 975,000"
"","Olli Jokinen","FLA","C","$ 968,000","1 (2002)","$ 968,000"
"","Mathieu Biron","FLA","D","$ 962,500","1 (2002)","$ 962,500"
"","Martin Havlat","OTT","RW","$ 960,000","1 (2002)","$ 960,000"
"","Alyn McCauley","SJS","C","$ 951,700","1 (2002)","$ 951,700"
"","Frantisek Kaberle","WPG","D","$ 950,000","1 (2002)","$ 950,000"
"","Manny Malhotra","DAL","C","$ 950,000","1 (2002)","$ 950,000"
"","Marc Denis","CBJ","G","$ 950,000","1 (2002)","$ 950,000"
"","Mike Eastwood","CHI","C","$ 950,000","1 (2002)","$ 950,000"
"","Tom Fitzgerald","TOR","LW","$ 950,000","1 (2002)","$ 950,000"
"","Vaclav Nedorost","COL","C","$ 950,000","1 (2002)","$ 950,000"
"","Dave Lowry","CGY","LW","$ 925,000","1 (2002)","$ 925,000"
"","Jimmie Olvestad","TBL","LW","$ 925,000","1 (2002)","$ 925,000"
"","Kristian Huselius","FLA","LW","$ 925,000","1 (2002)","$ 925,000"
"","Marcus Nilson","FLA","LW","$ 925,000","1 (2002)","$ 925,000"
"","Mathieu Garon","MTL","G","$ 907,500","1 (2002)","$ 907,500"
"","P.J. Axelsson","BOS","LW","$ 907,500","1 (2002)","$ 907,500"
"","Alex Tanguay","COL","LW","$ 900,000","1 (2002)","$ 900,000"
"","Alexander Khavanov","STL","D","$ 900,000","1 (2002)","$ 900,000"
"","Andy Delmore","NSH","D","$ 900,000","1 (2002)","$ 900,000"
"","Brian Sutherby","WSH","C","$ 900,000","1 (2002)","$ 900,000"
"","Ian Laperriere","LAK","RW","$ 900,000","1 (2002)","$ 900,000"
"","Jaroslav Svoboda","CAR","LW","$ 900,000","1 (2002)","$ 900,000"
"","Jean-Sebastien Giguere","ANA","G","$ 900,000","1 (2002)","$ 900,000"
"","Manny Legace","DET","G","$ 900,000","1 (2002)","$ 900,000"
"","Mike Leclerc","ANA","LW","$ 900,000","1 (2002)","$ 900,000"
"","Pavel Trnka","FLA","D","$ 900,000","1 (2002)","$ 900,000"
"","Scott Gomez","NJD","C","$ 900,000","1 (2002)","$ 900,000"
"","Steve Staios","EDM","D","$ 900,000","1 (2002)","$ 900,000"
"","Tom Barrasso","STL","G","$ 900,000","1 (2002)","$ 900,000"
"","Tomas Vokoun","NSH","G","$ 900,000","1 (2002)","$ 900,000"
"","Trent Klatt","VAN","RW","$ 900,000","1 (2002)","$ 900,000"
"","Yannick Tremblay","WPG","D","$ 900,000","1 (2002)","$ 900,000"
"","Sami Salo","VAN","D","$ 880,000","1 (2002)","$ 880,000"
"","Henrik Zetterberg","DET","LW","$ 875,000","1 (2002)","$ 875,000"
"","Bates Battaglia","COL","LW","$ 850,000","1 (2002)","$ 850,000"
"","Bryan Berard","BOS","D","$ 850,000","1 (2002)","$ 850,000"
"","Cory Sarich","TBL","D","$ 850,000","1 (2002)","$ 850,000"
"","Dan Boyle","TBL","D","$ 850,000","1 (2002)","$ 850,000"
"","Daniel Cleary","EDM","RW","$ 850,000","1 (2002)","$ 850,000"
"","Dave Andreychuk","TBL","LW","$ 850,000","1 (2002)","$ 850,000"
"","Dmitri Kalinin","BUF","D","$ 850,000","1 (2002)","$ 850,000"
"","Hans Jonsson","PIT","D","$ 850,000","1 (2002)","$ 850,000"
"","Jani Hurme","FLA","G","$ 850,000","1 (2002)","$ 850,000"
"","Krzysztof Oliwa","BOS","LW","$ 850,000","1 (2002)","$ 850,000"
"","Marty Reasoner","EDM","C","$ 850,000","1 (2002)","$ 850,000"
"","Marty Turco","DAL","G","$ 850,000","1 (2002)","$ 850,000"
"","Milan Kraft","PIT","C","$ 850,000","1 (2002)","$ 850,000"
"","Tyler Wright","CBJ","C","$ 850,000","1 (2002)","$ 850,000"
"","Patrick Traverse","MTL","D","$ 842,500","1 (2002)","$ 842,500"
"","Niclas Havelid","ANA","D","$ 830,000","1 (2002)","$ 830,000"
"","Brad Lukowich","TBL","D","$ 825,000","1 (2002)","$ 825,000"
"","Wayne Primeau","SJS","C","$ 825,000","1 (2002)","$ 825,000"
"","J.S. Aubin","PIT","G","$ 820,000","1 (2002)","$ 820,000"
"","Randy Robitaille","NYI","C","$ 820,000","1 (2002)","$ 820,000"
"","Jamal Mayers","STL","RW","$ 800,000","1 (2002)","$ 800,000"
"","Jonathan Cheechoo","SJS","RW","$ 800,000","1 (2002)","$ 800,000"
"","Kirk Muller","DAL","LW","$ 800,000","1 (2002)","$ 800,000"
"","Kyle Calder","CHI","LW","$ 800,000","1 (2002)","$ 800,000"
"","Michal Rozsival","PIT","D","$ 800,000","1 (2002)","$ 800,000"
"","Miikka Kiprusoff","SJS","G","$ 800,000","1 (2002)","$ 800,000"
"","Rob DiMaio","DAL","RW","$ 800,000","1 (2002)","$ 800,000"
"","Tony Hrkac","WPG","C","$ 800,000","1 (2002)","$ 800,000"
"","Wes Walz","MIN","C","$ 800,000","1 (2002)","$ 800,000"
"","Josh Green","WSH","LW","$ 798,600","1 (2002)","$ 798,600"
"","Ivan Novoseltsev","FLA","RW","$ 797,500","1 (2002)","$ 797,500"
"","Brad Bombardir","MIN","D","$ 775,000","1 (2002)","$ 775,000"
"","Filip Kuba","MIN","D","$ 775,000","1 (2002)","$ 775,000"
"","Karlis Skrastins","NSH","D","$ 775,000","1 (2002)","$ 775,000"
"","Lubomir Sekeras","MIN","D","$ 775,000","1 (2002)","$ 775,000"
"","Mattias Weinhandl","NYI","RW","$ 775,000","1 (2002)","$ 775,000"
"","Ossi Vaananen","ARI","D","$ 775,000","1 (2002)","$ 775,000"
"","Artem Chubarov","VAN","C","$ 770,000","1 (2002)","$ 770,000"
"","Mike Ribeiro","MTL","C","$ 770,000","1 (2002)","$ 770,000"
"","Scott Hannan","SJS","D","$ 770,000","1 (2002)","$ 770,000"
"","Wade Belak","TOR","D","$ 770,000","1 (2002)","$ 770,000"
"","Henrik Tallinder","BUF","D","$ 760,000","1 (2002)","$ 760,000"
"","Antti Laaksonen","MIN","LW","$ 750,000","1 (2002)","$ 750,000"
"","Bill Muckalt","MIN","RW","$ 750,000","1 (2002)","$ 750,000"
"","Brad Brown","MIN","D","$ 750,000","1 (2002)","$ 750,000"
"","Colin White","NJD","D","$ 750,000","1 (2002)","$ 750,000"
"","Cory Cross","EDM","D","$ 750,000","1 (2002)","$ 750,000"
"","Craig Johnson","LAK","LW","$ 750,000","1 (2002)","$ 750,000"
"","Darby Hendrickson","MIN","C","$ 750,000","1 (2002)","$ 750,000"
"","Eric Cairns","NYI","D","$ 750,000","1 (2002)","$ 750,000"
"","Ian Moran","BOS","D","$ 750,000","1 (2002)","$ 750,000"
"","Jan Bulis","MTL","LW","$ 750,000","1 (2002)","$ 750,000"
"","Jay Pandolfo","NJD","LW","$ 750,000","1 (2002)","$ 750,000"
"","Jim Dowd","MIN","C","$ 750,000","1 (2002)","$ 750,000"
"","Ladislav Nagy","ARI","LW","$ 750,000","1 (2002)","$ 750,000"
"","Lubomir Visnovsky","LAK","D","$ 750,000","1 (2002)","$ 750,000"
"","Michal Sivek","PIT","C","$ 750,000","1 (2002)","$ 750,000"
"","Mike Fisher","OTT","C","$ 750,000","1 (2002)","$ 750,000"
"","Mike Knuble","BOS","RW","$ 750,000","1 (2002)","$ 750,000"
"","Oleg Kvasha","NYI","LW","$ 750,000","1 (2002)","$ 750,000"
"","Radoslav Suchy","ARI","D","$ 750,000","1 (2002)","$ 750,000"
"","Ryan Johnson","STL","C","$ 750,000","1 (2002)","$ 750,000"
"","Todd White","OTT","C","$ 750,000","1 (2002)","$ 750,000"
"","Trevor Letowski","VAN","RW","$ 750,000","1 (2002)","$ 750,000"
"","Jesse Wallin","DET","D","$ 726,000","1 (2002)","$ 726,000"
"","Branko Radivojevic","ARI","RW","$ 725,000","1 (2002)","$ 725,000"
"","Brian Gionta","NJD","RW","$ 720,000","1 (2002)","$ 720,000"
"","Ben Clymer","TBL","RW","$ 715,000","1 (2002)","$ 715,000"
"","Nick Boynton","BOS","D","$ 715,000","1 (2002)","$ 715,000"
"","Ruslan Fedotenko","TBL","LW","$ 715,000","1 (2002)","$ 715,000"
"","Toni Lydman","CGY","D","$ 715,000","1 (2002)","$ 715,000"
"","Petr Buzek","CGY","D","$ 710,000","1 (2002)","$ 710,000"
"","Alexandre Daigle","PIT","RW","$ 700,000","1 (2002)","$ 700,000"
"","Andre Roy","TBL","LW","$ 700,000","1 (2002)","$ 700,000"
"","Andrei Markov","MTL","D","$ 700,000","1 (2002)","$ 700,000"
"","Brent Johnson","STL","G","$ 700,000","1 (2002)","$ 700,000"
"","Dennis Seidenberg","PHI","D","$ 700,000","1 (2002)","$ 700,000"
"","Eric Messier","COL","D","$ 700,000","1 (2002)","$ 700,000"
"","Jaroslav Modry","LAK","D","$ 700,000","1 (2002)","$ 700,000"
"","Kevyn Adams","CAR","C","$ 700,000","1 (2002)","$ 700,000"
"","Niklas Hagman","FLA","LW","$ 700,000","1 (2002)","$ 700,000"
"","Petr Cajanek","STL","C","$ 700,000","1 (2002)","$ 700,000"
"","Tomas Malec","CAR","D","$ 700,000","1 (2002)","$ 700,000"
"","Sean Brown","BOS","D","$ 687,500","1 (2002)","$ 687,500"
"","Shean Donovan","CGY","RW","$ 684,500","1 (2002)","$ 684,500"
"","Denis Arkhipov","NSH","C","$ 675,000","1 (2002)","$ 675,000"
"","Stephane Robidas","DAL","D","$ 675,000","1 (2002)","$ 675,000"
"","Landon Wilson","ARI","RW","$ 667,435","1 (2002)","$ 667,435"
"","Steve Webb","NYI","RW","$ 667,435","1 (2002)","$ 667,435"
"","Mikko Eloranta","LAK","LW","$ 667,434","1 (2002)","$ 667,434"
"","Nik Antropov","TOR","RW","$ 660,000","1 (2002)","$ 660,000"
"","Andreas Johansson","NSH","LW","$ 650,000","1 (2002)","$ 650,000"
"","Christian Berglund","NJD","LW","$ 650,000","1 (2002)","$ 650,000"
"","Daniel Tjarnqvist","WPG","D","$ 650,000","1 (2002)","$ 650,000"
"","Darren Van Impe","CBJ","D","$ 650,000","1 (2002)","$ 650,000"
"","David Vyborny","CBJ","RW","$ 650,000","1 (2002)","$ 650,000"
"","Eric Belanger","LAK","C","$ 650,000","1 (2002)","$ 650,000"
"","Josef Melichar","PIT","D","$ 650,000","1 (2002)","$ 650,000"
"","Karel Rachunek","OTT","D","$ 650,000","1 (2002)","$ 650,000"
"","Michal Grosek","BOS","RW","$ 650,000","1 (2002)","$ 650,000"
"","Niko Kapanen","DAL","C","$ 650,000","1 (2002)","$ 650,000"
"","Nolan Pratt","TBL","D","$ 650,000","1 (2002)","$ 650,000"
"","Per Svartvadet","WPG","D","$ 650,000","1 (2002)","$ 650,000"
"","Rico Fata","PIT","RW","$ 650,000","1 (2002)","$ 650,000"
"","Trevor Kidd","TOR","G","$ 650,000","1 (2002)","$ 650,000"
"","Pasi Nurminen","WPG","G","$ 630,000","1 (2002)","$ 630,000"
"","Alexei Semenov","EDM","D","$ 625,000","1 (2002)","$ 625,000"
"","Chris Dingman","TBL","LW","$ 625,000","1 (2002)","$ 625,000"
"","Chris McAllister","COL","D","$ 625,000","1 (2002)","$ 625,000"
"","Duvie Westcott","CBJ","D","$ 625,000","1 (2002)","$ 625,000"
"","Jamie Allison","CBJ","D","$ 625,000","1 (2002)","$ 625,000"
"","Pavel Datsyuk","DET","C","$ 625,000","1 (2002)","$ 625,000"
"","Sebastien Caron","PIT","G","$ 625,000","1 (2002)","$ 625,000"
"","Dmitri Bykov","DET","D","$ 605,000","1 (2002)","$ 605,000"
"","Adam Hall","NSH","RW","$ 600,000","1 (2002)","$ 600,000"
"","Andrei Nazarov","ARI","LW","$ 600,000","1 (2002)","$ 600,000"
"","Blair Betts","CGY","C","$ 600,000","1 (2002)","$ 600,000"
"","Dan Hinote","COL","RW","$ 600,000","1 (2002)","$ 600,000"
"","Deron Quint","ARI","D","$ 600,000","1 (2002)","$ 600,000"
"","Dwayne Roloson","MIN","G","$ 600,000","1 (2002)","$ 600,000"
"","Ivan Huml","BOS","D","$ 600,000","1 (2002)","$ 600,000"
"","James Patrick","BUF","D","$ 600,000","1 (2002)","$ 600,000"
"","Jason Blake","NYI","LW","$ 600,000","1 (2002)","$ 600,000"
"","Jean-Luc Grand-Pierre","CBJ","D","$ 600,000","1 (2002)","$ 600,000"
"","Jeff Odgers","WPG","RW","$ 600,000","1 (2002)","$ 600,000"
"","John Grahame","TBL","G","$ 600,000","1 (2002)","$ 600,000"
"","Kelly Buchberger","ARI","RW","$ 600,000","1 (2002)","$ 600,000"
"","Ken Belanger","LAK","LW","$ 600,000","1 (2002)","$ 600,000"
"","Kent Manderville","PIT","C","$ 600,000","1 (2002)","$ 600,000"
"","Marty Murray","PHI","C","$ 600,000","1 (2002)","$ 600,000"
"","Nick Schultz","MIN","D","$ 600,000","1 (2002)","$ 600,000"
"","Niclas Wallin","CAR","D","$ 600,000","1 (2002)","$ 600,000"
"","Paul Ranheim","ARI","LW","$ 600,000","1 (2002)","$ 600,000"
"","Peter Worrell","FLA","LW","$ 600,000","1 (2002)","$ 600,000"
"","Reed Low","STL","RW","$ 600,000","1 (2002)","$ 600,000"
"","Shane Hnidy","OTT","D","$ 600,000","1 (2002)","$ 600,000"
"","Shawn Heins","PIT","D","$ 600,000","1 (2002)","$ 600,000"
"","Stephane Matteau","FLA","LW","$ 600,000","1 (2002)","$ 600,000"
"","Tyler Arnason","CHI","C","$ 600,000","1 (2002)","$ 600,000"
"","Willie Mitchell","MIN","D","$ 600,000","1 (2002)","$ 600,000"
"","Andy McDonald","ANA","C","$ 575,000","1 (2002)","$ 575,000"
"","Andy Sutton","WPG","D","$ 575,000","1 (2002)","$ 575,000"
"","Brent Gilchrist","NSH","LW","$ 575,000","1 (2002)","$ 575,000"
"","Clarke Wilm","NSH","C","$ 575,000","1 (2002)","$ 575,000"
"","Jim Fahey","SJS","D","$ 575,000","1 (2002)","$ 575,000"
"","Lubos Bartecko","WPG","LW","$ 575,000","1 (2002)","$ 575,000"
"","Pascal Rheaume","NJD","C","$ 575,000","1 (2002)","$ 575,000"
"","Shawn Horcoff","EDM","C","$ 575,000","1 (2002)","$ 575,000"
"","Scott Parker","COL","RW","$ 574,750","1 (2002)","$ 574,750"
"","Alex Henry","WSH","D","$ 550,000","1 (2002)","$ 550,000"
"","Andreas Salomonsson","WSH","RW","$ 550,000","1 (2002)","$ 550,000"
"","Brent Sopel","VAN","D","$ 550,000","1 (2002)","$ 550,000"
"","Corey Schwab","NJD","G","$ 550,000","1 (2002)","$ 550,000"
"","Dan LaCouture","NYR","LW","$ 550,000","1 (2002)","$ 550,000"
"","David Tanabe","CAR","D","$ 550,000","1 (2002)","$ 550,000"
"","Jody Shelley","CBJ","LW","$ 550,000","1 (2002)","$ 550,000"
"","Kip Miller","WSH","C","$ 550,000","1 (2002)","$ 550,000"
"","Martin Erat","NSH","LW","$ 550,000","1 (2002)","$ 550,000"
"","Mike Rupp","NJD","LW","$ 550,000","1 (2002)","$ 550,000"
"","Nathan Dempsey","CHI","D","$ 550,000","1 (2002)","$ 550,000"
"","Peter Skudra","VAN","G","$ 550,000","1 (2002)","$ 550,000"
"","Ryan VandenBussche","CHI","RW","$ 550,000","1 (2002)","$ 550,000"
"","Shawn Bates","NYI","LW","$ 550,000","1 (2002)","$ 550,000"
"","Steve Passmore","CHI","G","$ 550,000","1 (2002)","$ 550,000"
"","Steve Poapst","CHI","D","$ 550,000","1 (2002)","$ 550,000"
"","Ville Nieminen","PIT","RW","$ 550,000","1 (2002)","$ 550,000"
"","Vladimir Orszagh","NSH","RW","$ 550,000","1 (2002)","$ 550,000"
"","Rostislav Klesla","CBJ","D","$ 537,500","1 (2002)","$ 537,500"
"","Richard Jackman","TOR","D","$ 532,400","1 (2002)","$ 532,400"
"","Chris Clark","CGY","RW","$ 530,000","1 (2002)","$ 530,000"
"","Jim McKenzie","NJD","LW","$ 525,000","1 (2002)","$ 525,000"
"","Maxim Kuznetsov","LAK","D","$ 525,000","1 (2002)","$ 525,000"
"","Peter Schaefer","OTT","LW","$ 525,000","1 (2002)","$ 525,000"
"","Petr Schastlivy","OTT","LW","$ 525,000","1 (2002)","$ 525,000"
"","Bryce Salvador","STL","D","$ 520,000","1 (2002)","$ 520,000"
"","Craig Berube","CGY","LW","$ 515,000","1 (2002)","$ 515,000"
"","Jamie Lundmark","NYR","C","$ 512,500","1 (2002)","$ 512,500"
"","Pavel Brendl","CAR","RW","$ 512,500","1 (2002)","$ 512,500"
"","Ales Pisa","NYR","D","$ 500,000","1 (2002)","$ 500,000"
"","Andreas Lilja","FLA","D","$ 500,000","1 (2002)","$ 500,000"
"","Barret Jackman","STL","D","$ 500,000","1 (2002)","$ 500,000"
"","Bryan Muir","COL","D","$ 500,000","1 (2002)","$ 500,000"
"","Christian Laflamme","STL","D","$ 500,000","1 (2002)","$ 500,000"
"","Dale Purinton","NYR","D","$ 500,000","1 (2002)","$ 500,000"
"","Darren Langdon","VAN","LW","$ 500,000","1 (2002)","$ 500,000"
"","David Aebischer","COL","G","$ 500,000","1 (2002)","$ 500,000"
"","Denis Pederson","NSH","C","$ 500,000","1 (2002)","$ 500,000"
"","Domenic Pittis","NSH","D","$ 500,000","1 (2002)","$ 500,000"
"","Erik Cole","CAR","RW","$ 500,000","1 (2002)","$ 500,000"
"","Fernando Pisani","EDM","C","$ 500,000","1 (2002)","$ 500,000"
"","Jamie McLennan","CGY","G","$ 500,000","1 (2002)","$ 500,000"
"","Jason Krog","ANA","C","$ 500,000","1 (2002)","$ 500,000"
"","Jason Strudwick","CHI","D","$ 500,000","1 (2002)","$ 500,000"
"","Jiri Bicek","NJD","RW","$ 500,000","1 (2002)","$ 500,000"
"","Kirill Safronov","WPG","D","$ 500,000","1 (2002)","$ 500,000"
"","Lasse Pirjeta","CBJ","LW","$ 500,000","1 (2002)","$ 500,000"
"","Mark Eaton","NSH","D","$ 500,000","1 (2002)","$ 500,000"
"","Martin Gerber","ANA","G","$ 500,000","1 (2002)","$ 500,000"
"","Mikael Samuelsson","PIT","RW","$ 500,000","1 (2002)","$ 500,000"
"","Radek Martinek","NYI","D","$ 500,000","1 (2002)","$ 500,000"
"","Richard Park","MIN","RW","$ 500,000","1 (2002)","$ 500,000"
"","Rob Ray","OTT","RW","$ 500,000","1 (2002)","$ 500,000"
"","Robert Esche","PHI","G","$ 500,000","1 (2002)","$ 500,000"
"","Scott Ferguson","EDM","D","$ 500,000","1 (2002)","$ 500,000"
"","Serge Aubin","COL","LW","$ 500,000","1 (2002)","$ 500,000"
"","Steven Reinprecht","COL","C","$ 500,000","1 (2002)","$ 500,000"
"","Todd Fedoruk","PHI","LW","$ 500,000","1 (2002)","$ 500,000"
"","Todd Warriner","NSH","LW","$ 500,000","1 (2002)","$ 500,000"
"","Uwe Krupp","WPG","D","$ 500,000","1 (2002)","$ 500,000"
"","J.F. Fortin","WSH","D","$ 495,000","1 (2002)","$ 495,000"
"","Brad Tapper","WPG","C","$ 487,500","1 (2002)","$ 487,500"
"","Brian Swanson","EDM","C","$ 475,000","1 (2002)","$ 475,000"
"","Dick Tarnstrom","PIT","D","$ 475,000","1 (2002)","$ 475,000"
"","Jeff Cowan","WPG","LW","$ 475,000","1 (2002)","$ 475,000"
"","Joe Corvo","LAK","D","$ 475,000","1 (2002)","$ 475,000"
"","Joel Bouchard","PIT","D","$ 475,000","1 (2002)","$ 475,000"
"","Kevin Sawyer","ANA","LW","$ 475,000","1 (2002)","$ 475,000"
"","Mattias Johansson","CGY","C","$ 475,000","1 (2002)","$ 475,000"
"","Vesa Toskala","SJS","G","$ 475,000","1 (2002)","$ 475,000"
"","Mark Smith","SJS","C","$ 467,500","1 (2002)","$ 467,500"
"","Matt Bradley","PIT","RW","$ 467,500","1 (2002)","$ 467,500"
"","Jussi Markkanen","EDM","G","$ 462,500","1 (2002)","$ 462,500"
"","Eric Boguniecki","STL","C","$ 460,000","1 (2002)","$ 460,000"
"","Matt Davidson","CBJ","RW","$ 452,540","1 (2002)","$ 452,540"
"","Aaron Downey","DAL","RW","$ 450,000","1 (2002)","$ 450,000"
"","Ales Kotalik","BUF","RW","$ 450,000","1 (2002)","$ 450,000"
"","Blake Sloan","CGY","RW","$ 450,000","1 (2002)","$ 450,000"
"","Brad Norton","LAK","D","$ 450,000","1 (2002)","$ 450,000"
"","Brian Campbell","BUF","D","$ 450,000","1 (2002)","$ 450,000"
"","Chris Neil","OTT","RW","$ 450,000","1 (2002)","$ 450,000"
"","D.J. Smith","COL","D","$ 450,000","1 (2002)","$ 450,000"
"","Dan Bylsma","ANA","RW","$ 450,000","1 (2002)","$ 450,000"
"","Derek Armstrong","LAK","C","$ 450,000","1 (2002)","$ 450,000"
"","Hannes Hyvonen","CBJ","RW","$ 450,000","1 (2002)","$ 450,000"
"","Ivan Majesky","FLA","D","$ 450,000","1 (2002)","$ 450,000"
"","J.F. Labbe","CBJ","G","$ 450,000","1 (2002)","$ 450,000"
"","Jason Doig","WSH","D","$ 450,000","1 (2002)","$ 450,000"
"","Jesse Boulerice","CAR","RW","$ 450,000","1 (2002)","$ 450,000"
"","Martin Prusek","OTT","G","$ 450,000","1 (2002)","$ 450,000"
"","Matt Cooke","VAN","LW","$ 450,000","1 (2002)","$ 450,000"
"","Mika Noronen","BUF","G","$ 450,000","1 (2002)","$ 450,000"
"","P.J. Stock","BOS","LW","$ 450,000","1 (2002)","$ 450,000"
"","Paul Healey","TOR","RW","$ 450,000","1 (2002)","$ 450,000"
"","Radovan Somik","PHI","LW","$ 450,000","1 (2002)","$ 450,000"
"","Ramzi Abid","PIT","LW","$ 450,000","1 (2002)","$ 450,000"
"","Samuel Pahlsson","ANA","C","$ 450,000","1 (2002)","$ 450,000"
"","Shaun Van Allen","OTT","C","$ 450,000","1 (2002)","$ 450,000"
"","Steve Dubinsky","STL","RW","$ 450,000","1 (2002)","$ 450,000"
"","Ted Donato","NYR","LW","$ 450,000","1 (2002)","$ 450,000"
"","Andrew Ference","CGY","D","$ 440,000","1 (2002)","$ 440,000"
"","Derrick Walser","CBJ","D","$ 440,000","1 (2002)","$ 440,000"
"","Sami Helenius","CHI","D","$ 440,000","1 (2002)","$ 440,000"
"","David Ling","CBJ","RW","$ 425,000","1 (2002)","$ 425,000"
"","Jarkko Ruutu","VAN","RW","$ 425,000","1 (2002)","$ 425,000"
"","Jean-Marc Pelletier","ARI","G","$ 425,000","1 (2002)","$ 425,000"
"","Joel Kwiatkowski","WSH","D","$ 425,000","1 (2002)","$ 425,000"
"","Lance Ward","ANA","D","$ 425,000","1 (2002)","$ 425,000"
"","Mike Weaver","WPG","D","$ 425,000","1 (2002)","$ 425,000"
"","Ronald Petrovicky","NYR","RW","$ 425,000","1 (2002)","$ 425,000"
"","Sven Butenschon","NYI","D","$ 425,000","1 (2002)","$ 425,000"
"","Arron Asham","NYI","RW","$ 423,500","1 (2002)","$ 423,500"
"","Rick Berry","WSH","D","$ 412,500","1 (2002)","$ 412,500"
"","Radim Vrbata","CAR","RW","$ 410,000","1 (2002)","$ 410,000"
"","Adam Mair","BUF","C","$ 400,000","1 (2002)","$ 400,000"
